benchmark,pcubes,dist,len,time
newcond,20,20,152,0.13
sym10,93,93,921,15.68
b4,95,67,795,0.24
5xp1,46,46,253,0.04
dk27,12,11,108,0
rd84,68,68,537,0.46
ts10,128,128,896,0.05
bcd,280,190,4238,4.44
p82,36,33,160,0.01
exps,368,327,2764,1.38
test1,158,158,1268,0.26
p1,80,70,608,0.1
newtpla2,15,15,97,0.01
clip,76,73,569,0.83
b9,114,114,1007,3.09
tial,524,524,6395,189.48
dc1,19,16,61,0
Z9sym,61,61,506,2.82
in2,156,135,1535,3.31
f51m,45,45,253,0.39
max46,25,25,233,0.12
t4,35,29,290,0.05
newtag,6,6,27,0.01
gary,158,131,1454,2.47
p3,59,52,434,0.07
mytest,1,1,2,0
sqn,27,27,170,0.06
newapla2,7,7,42,0
rd53,16,16,74,0
duke2,176,121,1631,0.97
m2,83,75,531,0.31
clpl,20,20,90,0.01
ryy6,112,112,1128,42.6
life,24,24,206,0.15
ex5,315,287,1581,5.08
alcom,44,43,189,0
br1,34,31,388,0.08
dk17,27,27,264,0.02
exam,153,148,1526,1.08
bcd.div3,7,7,29,0
in0,159,130,1459,1.94
newtpla,20,20,170,0.06
dc2,33,33,191,0.03
soar,453,403,3790,13.58
br2,29,18,307,0.05
alu3,64,63,364,0.19
mark1,50,34,762,0.15
t1,140,121,774,0.34
alu1,19,19,49,0
test4,568,551,4565,1.09
b2,561,261,5292,16.75
misex3c,289,282,2700,108.54
bca,444,302,6771,7.89
bcb,375,253,5619,5.74
alu2,52,52,315,0.05
inc,43,43,220,0.02
sex,35,31,136,0.01
risc,46,36,210,0.01
dekoder,21,15,69,0
prom2,684,677,5895,7.16
m1,34,30,153,0.02
squar5,22,22,86,0
apla,51,50,492,0.06
o64,RAN OUT OF MEMORY,,,
t2,55,54,382,0.07
exp,80,74,609,0.1
tms,80,62,512,0.11
mlp4,99,99,697,0.52
e64,65,65,2145,1.53
newcpla1,55,54,316,0.03
Z5xp1,47,47,240,0.1
sao2,56,56,507,0.68
test2,2557,2543,29749,36.49
max512,120,119,931,3
rd73,47,47,325,0.2
bw,83,64,335,0.01
in7,77,66,670,0.79
ex7,114,114,1007,3.1
vg2,125,125,1394,8.69
ibm,299,299,2459,4.73
max1024,212,212,2001,15.05
9sym,64,64,560,2.76
newxcpla1,67,62,320,0.04
apex4,655,638,5925,8.51
newcwp,9,9,25,0
pdc,300,269,3787,94
z4,28,28,157,0.11
addm4,138,138,1086,2.25
newcpla2,35,22,179,0.02
dist,101,98,732,0.75
in6,96,67,805,0.24
newill,6,6,40,0
bc0,426,349,3946,21.04
apex3,475,400,4186,10.47
xor5,4,4,20,0
x6dn,183,141,1894,6.57
l8err,73,73,515,0.43
sqr6,40,40,185,0.03
m4,168,154,1064,1.66
bench,24,24,149,0
m181,49,47,218,0.09
intb,452,452,5616,211.51
in1,561,261,5292,16.73
adr4,36,36,222,0.31
m3,99,92,670,0.49
spla,311,282,3824,99.46
rckl,97,95,1863,21.88
b12,49,47,217,0.11
fout,77,73,436,0.04
b7,45,35,205,0.01
in3,221,134,1822,1.45
add6,42,42,279,13.53
t3,30,30,213,0.08
pope.rom,245,223,1124,0.28
in4,370,308,4461,68.77
bcc,382,259,5848,7.08
t481,TIME EXPIRED,,,
luc,126,68,635,0.07
newtpla1,4,4,34,0
newapla1,11,11,80,0.03
con1,9,9,30,0
misj,48,43,206,0.04
test3,1408,1395,14600,9.48
log8mod,40,39,204,0.02
misex1,26,20,110,0
vtx1,116,116,1501,6.77
newbyte,8,8,40,0
b10,143,118,1307,1.78
shift,105,102,405,0.02
dk48,26,26,388,0.03
bench1,181,180,1663,0.47
max128,141,133,746,0.43
cordic,113,113,2211,42.69
signet,TIME EXPIRED,,,
ex1010,517,516,5387,4.04
misex3,722,703,8333,240.26
table3,362,286,4392,9.05
wim,20,17,66,0
table5,383,253,4785,17.48
co14,7,7,98,0.02
x9dn,132,132,1797,7.37
in5,193,152,1994,2.79
lin.rom,332,315,2023,0.92
chkn,134,134,2043,168.29
b3,359,302,4312,68.45
newapla,28,25,162,0.03
radd,20,20,101,0.07
x1dn,116,116,1501,6.76
mp2d,70,65,381,0.11
b11,45,35,205,0.01
alu4,540,540,6578,256.79
misex2,29,29,193,0.01
prom1,1538,1496,13350,40.19
root,47,45,312,0.44
